merchant,amount,category
Gupta bhel,25.0,Food & Dining
Vadapav,20.0,Food & Dining
2 Place 0 to Place 3 returns,80.0,Transportation
2 Place 2 to Place 1 - Shree Sharma Travels,1711.0,Travel
2 Place 0 to tilaknagar single side,30.0,Transportation
2 kachori,24.0,Food & Dining
Place 0 to WS return,10.0,Transportation
2 Place 0 to WS returns,20.0,Transportation
2 Kushinagar express (LTT to Place 2),501.0,Transportation
2 tickets - Cinepolis 4DX 3D,760.0,Entertainment
2 Veg puff,40.0,Food & Dining
Vadapav,20.0,Food & Dining
2 kachori,24.0,Food & Dining
2 Place 0 to Place P return,80.0,Transportation
2 kachori,24.0,Food & Dining
Ragda Puri,30.0,Food & Dining
Place 0 to Vikhroli single,15.0,Transportation
nan,261.0,Transportation
Samosa pav @ kurla,15.0,Food & Dining
Place 0 to Vikhroli return,30.0,Transportation
Gupta bhel,25.0,Food & Dining
2 Place 0 to Place 4 return,30.0,Transportation
Monthly recharge,261.0,Transportation
Sweet bread cake 85 + veg puff 2,125.0,Food & Dining
Chicken manchow soup,98.0,Food & Dining
No daily limit plan ( 25 GB 30 days),296.0,Bills & Utilities
Veg puff,20.0,Food & Dining
No daily limit plan ( 25 GB 30 days),296.0,Bills & Utilities
40 Place 0 to Place 3 return+ 20 single,60.0,Transportation
Place 0 to Place 6 return,10.0,Transportation
Place 3 to Place 2 sevagram,1100.0,Transportation
2 Place 0 to WS single,10.0,Transportation
2 Pani Puri+ 1 samosa chat,110.0,Food & Dining
1 month subscription,149.0,Bills & Utilities
2 kachori,24.0,Food & Dining
2 Place 0 to Place 6 return,20.0,Transportation
2 Veg puff,40.0,Food & Dining
Place 0 to Vikhroli return,30.0,Transportation
Monthly recharge,261.0,Transportation
Place 6 to Place 2 - 3Tier AC cancellation charges,213.6,Transportation
1 chicken shawarma,60.0,Food & Dining
egg roll,40.0,Food & Dining
2 Place 0 to dadar return,60.0,Transportation
siddhivinayak to shiv sena bhavan,30.0,Transportation
Dadar West to siddhivinayak,30.0,Transportation
Place 2 to Place 1,900.0,Travel
Doctor Fees,150.0,Healthcare
2 Place 0 to WS returns,20.0,Transportation
Place 6 to Place 2,600.0,Travel
Mobile Service Provider freedom pack,296.0,Bills & Utilities
2 samosa (32) + 25 Pani Puri,57.0,Food & Dining
6 months ( 30mb UL plan + 1 month free),2820.0,Bills & Utilities
2 Batman tickets,440.0,Entertainment
2 Place 0 to Place 4 return,40.0,Transportation
2 Place 0 to WS returns,20.0,Transportation
bhel + shev puri,60.0,Food & Dining
2 Place 2 to Place 1,1599.98,Travel
Mobile Service Provider freedom pack,296.0,Bills & Utilities
3 plate kachori,72.0,Food & Dining
Place 0 to Place 6 return 2,20.0,Transportation
within city,40.0,Transportation
2 Place 3m to vadala rd,10.0,Transportation
2 Santacruz to churchgate,20.0,Transportation
2 Santacruz return,80.0,Transportation
2 TB return,40.0,Transportation
Place 0 to WS returns,20.0,Transportation
2 Jumbo king burger,58.0,Food & Dining
Place 2 to Place 1,5500.0,Transportation
pav vada,10.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
single pav vada,10.0,Food & Dining
samosa + sabudana vada,53.0,Food & Dining
chicken roll,50.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
single pav vada,15.0,Food & Dining
cheese chilli toast sandwich 1,60.0,Food & Dining
2 Shegaon kachori (nasik),30.0,Food & Dining
Mobile Service Provider recharge,149.0,Bills & Utilities
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
2 Bombay vada pav,20.0,Food & Dining
1 month subscription,149.0,Bills & Utilities
woffel,175.0,Food & Dining
Place 1 to Place 2 - Novelty tour and travels,1396.5,Travel
4 Shegaon kachori,48.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
nan,70.0,Bills & Utilities
Imax 3D,400.0,Entertainment
Place 0 to WS returns,20.0,Transportation
Doctor Fees,300.0,Healthcare
1 Panipuri,25.0,Food & Dining
2 chips packets,10.0,Food & Dining
LTT to Place 2 (Patna Exp) cancellation,403.0,Transportation
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
Place 5 to Place 1 sevagram,11.8,Transportation
LTT to Place 2 cancellation,251.8,Transportation
Place 2 to Place 1 - Novelty tour and travels,1900.0,Travel
2 dabeli,30.0,Food & Dining
chips 1 Kurkure (19) 1 lays (10),29.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
Doctor Fees,200.0,Healthcare
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
3 chips packets,15.0,Food & Dining
pav bhaji pav 3 packets (8pcs each),45.0,Food & Dining
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
mobile recharge sim 2,98.0,Bills & Utilities
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
two water bottles,40.0,Bills & Utilities
share jeep - Place T top to base (50/person),100.0,Transportation
share jeep - Place T base to top (50/person),100.0,Transportation
single pav vada,10.0,Food & Dining
Veer Travels - BRC to Place 2 ( 2 Adults),1800.0,Travel
Kabra Travels - Place 2 to BRC (2 Adults),4662.0,Travel
Bombay vada pav,10.0,Food & Dining
1 month subscription,199.0,Bills & Utilities
nan,251.0,Bills & Utilities
Undated Planner - June shop,1119.2,Shopping
egg roll,25.0,Food & Dining
1 month subscription,199.0,Bills & Utilities
nan,251.0,Bills & Utilities
baggit purse,437.0,Shopping
brownie,70.0,Food & Dining
vanilla ice cream cups 2,20.0,Food & Dining
nan,251.0,Bills & Utilities
Place 6 to Place 2,598.5,Travel
Place 2 to mum,750.0,Travel
nan,251.0,Bills & Utilities
Ganesh idol,361.0,Entertainment
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
Mobile Service Provider recharge 365 days,2599.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
Chalisgaon to Baroda return,3200.0,Travel
nan,251.0,Bills & Utilities
Mobile Service Provider sim card porting,350.0,Bills & Utilities
icecream,140.0,Food & Dining
nan,251.0,Bills & Utilities
1 Jar,25.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
biscuits,70.0,Food & Dining
pedhe,100.0,Food & Dining
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
pedhe,50.0,Food & Dining
5star (2)+munch(2),40.0,Food & Dining
hand gloves 4 pairs,80.0,Healthcare
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
Cadbury 2 + chips 2,90.0,Food & Dining
egg roll,25.0,Food & Dining
water bottle + khari sing,70.0,Food & Dining
sweats,250.0,Food & Dining
face mask,150.0,Healthcare
Ola - Place 1 to Place 5 to and fro,803.0,Transportation
6 pairs of use and throw gloves,120.0,Healthcare
2 n95 masks,300.0,Healthcare
BR to mumbai,6000.0,Transportation
N95 mask,250.0,Healthcare
hand sanitizer + surgical gloves,290.0,Healthcare
dentist check-up,3700.0,Healthcare
samosa+tea+veg cheese grill sandwich,53.0,Food & Dining
dentist check-up,1000.0,Healthcare
root canal due,1900.0,Healthcare
train - ddr to brc cancellation charges,11.8,Transportation
train - brc to ddr cancellation charges,11.8,Transportation
Place 0 to Bandra,20.0,Transportation
root canal advance,3000.0,Healthcare
dentist check-up,300.0,Healthcare
Place 0 to Bandra,20.0,Transportation
to and fro Mum to BRC,526.0,Transportation
face mask,45.0,Healthcare
