merchant,amount,category
Data booster pack,15.0,Bills & Utilities
Data booster pack,15.0,Bills & Utilities
2CC Place 2 to DDR Spl Train,1213.6,Transportation
nan,5000.0,Shopping
nan,5000.0,Shopping
12 eggs,84.0,Food & Dining
Sofa covers,3000.0,Shopping
Data booster pack,667.0,Bills & Utilities
From workplace,65134.0,Income
Data booster pack,25.0,Bills & Utilities
hair cut,100.0,Shopping
interest paid,28.0,Income
Soap + dahya pav kg,75.0,Shopping
Permanent Residence to Motor Driving school,50.0,Transportation
Data booster pack,667.0,Bills & Utilities
Permanent Residence - Tata Play recharge,166.0,Bills & Utilities
2 All out refill,154.0,Healthcare
nan,11043.0,Healthcare
flour mill,25.0,Shopping
Data booster pack,15.0,Bills & Utilities
Data booster pack,301.0,Bills & Utilities
Cookies & cream family pack,135.0,Food & Dining
within city,30.0,Transportation
LG Washing Machine,21500.0,Shopping
Permanent Residence to GH road,50.0,Transportation
Data booster pack,301.0,Bills & Utilities
Place 2 station to Permanent Residence,50.0,Transportation
Potato chips,15.0,Food & Dining
2 dozens mango + 1kg litchi,1250.0,Food & Dining
2 Place 0 to Place 3,40.0,Transportation
2 Current Residence to Place 0,40.0,Transportation
clothes ironing,77.0,Shopping
nan,5000.0,Shopping
nan,5000.0,Shopping
Domino's Pizza,437.0,Food & Dining
Catering Service,70.0,Food & Dining
4 kachori,48.0,Food & Dining
milk 1lit,72.0,Food & Dining
1 packet,20.0,Food & Dining
2 Faluda,80.0,Food & Dining
Mata + TOI + ET,12.0,Bills & Utilities
Toast packet,45.0,Food & Dining
Half lit  milk,36.0,Food & Dining
nan,199.0,Bills & Utilities
Kaju katli half kg,500.0,Food & Dining
milk 1lit,72.0,Food & Dining
Shaving,50.0,Shopping
Handwash container2 + window cleaner,1086.0,Shopping
Mall parking,20.0,Transportation
nan,515.0,Bills & Utilities
Home Food Delivery,430.0,Food & Dining
milk 1lit,72.0,Food & Dining
Supermart,37.0,Shopping
milk 1lit,72.0,Food & Dining
Bhaji + vadapav,40.0,Food & Dining
Mango 1.5 kg,280.0,Food & Dining
milk 1lit,72.0,Food & Dining
ITone eye drops,43.0,Healthcare
Refresh Tears Drop,122.0,Healthcare
nan,10000.0,Income
6 kachori,72.0,Food & Dining
Supermart,165.0,Shopping
Current Residence - Tata Play recharge,176.0,Bills & Utilities
Toast packet,45.0,Food & Dining
milk 1lit,72.0,Food & Dining
To Family,500.0,Shopping
2 sugarcane juice,40.0,Food & Dining
From workplace,65134.0,Income
Home Food Delivery,413.0,Food & Dining
Supermart,295.0,Shopping
Noodles packet,30.0,Food & Dining
milk 1lit,72.0,Food & Dining
Catering Service,70.0,Food & Dining
Permanent Residence - Tata Play recharge,157.0,Bills & Utilities
Idli pith 1kg,38.0,Shopping
nan,10.0,Food & Dining
Supermart,190.0,Shopping
milk 1lit,72.0,Food & Dining
Naturals,160.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
Sugaran Kitchen,70.0,Food & Dining
flour mill,14.0,Shopping
6 eggs,36.0,Food & Dining
milk 1lit,72.0,Food & Dining
milk 1lit,72.0,Food & Dining
clothes ironing,63.0,Shopping
Cockroach injection,270.0,Shopping
Supermart,265.0,Shopping
Smart point,450.0,Shopping
pav Bhaji,70.0,Food & Dining
2 cutting chai,20.0,Food & Dining
"Vessels for sugar, coffee and tea",799.0,Shopping
Station Parking,10.0,Transportation
Place 0 to Place 4 return,20.0,Transportation
Catering Service,70.0,Food & Dining
Supermart,107.0,Shopping
Pizza base packet 2,40.0,Food & Dining
Khari packet,45.0,Food & Dining
milk 1lit,72.0,Food & Dining
Family Thyroid Test + CBC,700.0,Healthcare
nan,5000.0,Shopping
nan,5000.0,Shopping
nan,199.0,Bills & Utilities
nan,112.0,Shopping
Pattice,20.0,Food & Dining
Catering Service,130.0,Food & Dining
Bread,18.0,Food & Dining
Catering Service,70.0,Food & Dining
farewell contribution,250.0,Shopping
Ginger,10.0,Food & Dining
milk 1lit,72.0,Food & Dining
Supermart,1857.0,Shopping
Pav kg chana dal,24.0,Shopping
Half lit  milk,36.0,Food & Dining
nan,24500.0,Income
Idli pith 1kg,38.0,Shopping
6 eggs,36.0,Food & Dining
milk 1lit,72.0,Food & Dining
Catering Service,130.0,Food & Dining
Mall parking,20.0,Transportation
Window cleaner,149.0,Shopping
Pav kg Lahsoon,24.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
onion 2 kg,36.0,Food & Dining
interest paid,345.0,Income
interest paid,345.15,Income
milk 1lit,72.0,Food & Dining
nan,10005.9,Income
2 chocobar,45.0,Food & Dining
Home Food Delivery,244.0,Food & Dining
From workplace,64636.0,Income
Domino's Pizza,419.0,Food & Dining
Station Parking,10.0,Transportation
interest paid,589.0,Income
Place 0 to Sion returns,30.0,Transportation
1 Panipuri,25.0,Food & Dining
Ginger + green chilli,20.0,Food & Dining
milk 1lit,72.0,Food & Dining
At restaurant,1234.0,Food & Dining
Bread,35.0,Food & Dining
milk 1lit,72.0,Food & Dining
Permanent Residence - Tata Play recharge,157.0,Bills & Utilities
Station Parking,10.0,Transportation
Popcorn family pack,25.0,Food & Dining
2 tea,20.0,Food & Dining
2 Frankie,160.0,Food & Dining
French crossiant,80.0,Food & Dining
IKEA tea 3,240.0,Food & Dining
Finding next Job,100.0,Entertainment
1 kg Bajari,7.0,Food & Dining
Half kg tomato,15.0,Food & Dining
Supermart,153.0,Shopping
Pickle,150.0,Food & Dining
Potato chips,150.0,Food & Dining
1 packet,20.0,Food & Dining
milk 1lit,72.0,Food & Dining
2 kachori,24.0,Food & Dining
Idli pith 1kg,38.0,Shopping
2 Fried rice,246.0,Food & Dining
Chicken lollypop 8 pcs,215.75,Food & Dining
Bread,18.0,Food & Dining
6 eggs,36.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Station Parking,10.0,Transportation
Dabeli,15.0,Food & Dining
Papad packet,50.0,Food & Dining
1 Panipuri,30.0,Food & Dining
cutting chai,10.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
Catering Service,30.0,Food & Dining
Half lit  milk,37.0,Food & Dining
Catering Service,60.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Mayonnaise + cheese cubes,140.0,Shopping
onion 2 kg,40.0,Food & Dining
Domino's Pizza,578.0,Food & Dining
Half lit  milk,36.0,Food & Dining
nan,5000.0,Shopping
nan,5000.0,Shopping
2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,Transportation
Mosquito Racket,300.0,Shopping
All out refill,77.0,Healthcare
1 lit,72.0,Food & Dining
Half lit  milk,36.0,Food & Dining
clothes ironing,91.0,Shopping
Flatbread 12 pcs,40.0,Food & Dining
nan,540.0,Bills & Utilities
6 eggs,36.0,Food & Dining
Half lit  milk,36.0,Food & Dining
2 Vadapav,30.0,Food & Dining
Thyroid Tablets,172.0,Healthcare
5 Meftal spas,22.0,Healthcare
Half lit  milk,36.0,Food & Dining
chocobar,20.0,Food & Dining
M D sure 3kg atta,162.0,Food & Dining
Supermart,1357.0,Shopping
Smart point,972.0,Shopping
Catering Service,130.0,Food & Dining
Half lit  milk,36.0,Food & Dining
chocobar,15.0,Food & Dining
Domino's Pizza,189.0,Food & Dining
6 eggs,36.0,Food & Dining
nan,10000.0,Income
Khari packet,45.0,Food & Dining
Half lit Varna milk,36.0,Food & Dining
onion 1 kg,30.0,Food & Dining
potato 1kg,18.0,Food & Dining
From workplace,64556.0,Income
Idli pith 1kg,38.0,Shopping
5 chapati,30.0,Food & Dining
1 lit,73.0,Food & Dining
Mirror repair,140.0,Shopping
First servicing,443.0,Transportation
chaas,17.0,Food & Dining
Flatbread 12 pcs,40.0,Food & Dining
Refresh Tears Drop,128.0,Healthcare
1 packet,20.0,Food & Dining
1 lit,72.0,Food & Dining
Permanent Residence - Tata Play recharge,157.0,Bills & Utilities
Limca,20.0,Food & Dining
onion 1 kg,20.0,Food & Dining
Catering Service,192.0,Food & Dining
nan,11043.0,Healthcare
Kitchen fan + installation+ repair,2600.0,Shopping
hair cut+shaving,170.0,Shopping
1 lit,72.0,Food & Dining
2 kachori,24.0,Food & Dining
BBQ,1783.0,Food & Dining
Mall parking,20.0,Transportation
5 chapati,30.0,Food & Dining
banana chips,45.0,Food & Dining
Khari packet,45.0,Food & Dining
1 lit,72.0,Food & Dining
chocobar,35.0,Food & Dining
Half kg tomato + methi 1 judi,30.0,Food & Dining
Supermart,117.0,Shopping
1 chicken shawarma,60.0,Food & Dining
potato 1kg,25.0,Food & Dining
Bread,35.0,Food & Dining
Amul cheese,72.0,Food & Dining
1 lit,72.0,Food & Dining
nan,5000.0,Shopping
nan,5000.0,Shopping
6 eggs,36.0,Food & Dining
3 packets,30.0,Food & Dining
M D sure 3kg atta,162.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
pav Bhaji,235.0,Food & Dining
Vadapav,15.0,Food & Dining
Place 0 to Place 3 returns,40.0,Transportation
Current Residence to Place 0,15.0,Transportation
1 lit,69.0,Food & Dining
clothes ironing,98.0,Shopping
Shev Puri,35.0,Food & Dining
onion 1 kg,25.0,Food & Dining
1 lit,69.0,Food & Dining
2 PVR Place 6,312.0,Entertainment
Raw chicken half kg,220.0,Food & Dining
Khari packet,45.0,Food & Dining
1 packet,69.0,Food & Dining
Domino's Pizza,452.0,Food & Dining
Catering Service,50.0,Food & Dining
Half lit  milk,35.0,Food & Dining
chocobar,10.0,Food & Dining
Place 2 to Place 1 - Shree Sharma Travels,945.0,Transportation
Catering Service,82.0,Food & Dining
8 bananas,30.0,Food & Dining
Half kg tomato,15.0,Food & Dining
nan,10000.0,Income
At restaurant,320.0,Food & Dining
Parking sticker,50.0,Transportation
From workplace,64636.0,Income
1 lit,69.0,Food & Dining
Matchbox packet 10pcs,10.0,Shopping
Dahi 2 packets,20.0,Food & Dining
Khari packet,45.0,Food & Dining
6 eggs,42.0,Food & Dining
1 lit,69.0,Food & Dining
2 kachori,24.0,Food & Dining
Smart point,976.9,Shopping
Supermart,764.0,Shopping
Two Wheeler Bikedelux third installment,43000.0,Transportation
Place 0 to Current Residence,15.0,Transportation
Place 0 to Place 4 return,20.0,Transportation
Pyjama (999)+ carry bag (10),1009.0,Shopping
1 packet,20.0,Food & Dining
1 lit,69.0,Food & Dining
potato 1kg,25.0,Food & Dining
Idli pith 1kg,38.0,Shopping
Catering Service,70.0,Food & Dining
Half lit  milk,35.0,Food & Dining
Smart point,273.0,Shopping
2 kg Bajari,14.0,Food & Dining
M D sure 3kg atta,162.0,Food & Dining
Cough-sills 4 pcs + sinarest 3 pcs,30.0,Healthcare
1 lit,69.0,Food & Dining
Home Food Delivery,384.0,Food & Dining
crack-jack 1 packi,10.0,Food & Dining
nan,45.0,Food & Dining
Permanent Residence - Tata Play recharge,179.0,Bills & Utilities
Flatbread 6 pcs,17.0,Food & Dining
Amul butter,53.0,Shopping
Flatbread 6 pcs,20.0,Food & Dining
Cakes,46.0,Shopping
Two Wheeler Bikedelux second installment,50000.0,Transportation
Fresh veggie pizza,219.0,Food & Dining
6 eggs,42.0,Food & Dining
1 lit,69.0,Food & Dining
Bhagar 1kg 130 + idli pith 1kg 35,165.0,Shopping
1 lit,69.0,Food & Dining
Chitale Srikhand,284.0,Food & Dining
onion 1 kg + half kg potato,38.0,Food & Dining
Place 0 to Place 3 returns,40.0,Transportation
Uber auto: Place 4 Station to Current Residence society,266.0,Transportation
Place 0 to Santacruz return,40.0,Transportation
Vibrating electronic message tool,798.0,Shopping
station to Decathlon,20.0,Transportation
Decathlon to station,25.0,Transportation
Head band,199.0,Shopping
Pali hill to Bandra station,23.0,Transportation
mumbai University Kalina to Santacruz station,40.0,Transportation
Current Residence to Place 0,15.0,Transportation
Thyroid Tablets,740.0,Healthcare
clothes ironing,80.0,Shopping
nan,5000.0,Shopping
nan,5000.0,Shopping
Smart point,226.0,Shopping
Family Thyroid Test,500.0,Healthcare
6 eggs,42.0,Food & Dining
1 lit,69.0,Food & Dining
2 packets,40.0,Food & Dining
Flatbread 12 pcs,34.0,Food & Dining
1 lit,69.0,Food & Dining
Vadapav,20.0,Food & Dining
Sony WI-C100 earphones wireless,1399.0,Shopping
M D sure 2kg atta,104.0,Food & Dining
Harpik 1L,165.0,Shopping
2 cutting chai,20.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
nan,810.0,Bills & Utilities
Idli pith 1kg,38.0,Shopping
5 litres can Distilled water,100.0,Shopping
2 cups,20.0,Food & Dining
1 lit,69.0,Food & Dining
Cockroach injection,270.0,Shopping
Nandadip oil bottle,130.0,Shopping
Catering Service,70.0,Food & Dining
nan,5000.0,Shopping
nan,5000.0,Shopping
Wok express + Domino's,681.0,Food & Dining
Two Wheeler Bikedelux booking amount,1000.0,Transportation
6 eggs,40.0,Food & Dining
1 lit,69.0,Food & Dining
Supermart,1140.0,Shopping
Refresh Tears Drop,158.0,Healthcare
Amazon pay cashback 1017 + Rs.482,482.0,Bills & Utilities
Raspberry dolly,15.0,Food & Dining
Logitech mouse,599.0,Shopping
1 lit,69.0,Food & Dining
nan,30000.0,Income
Flatbread 24 pcs,30.0,Food & Dining
From workplace,64623.0,Income
interest paid,594.0,Income
Dudhi 20 + mirchi 5,25.0,Food & Dining
3 pavwada,30.0,Food & Dining
nan,182.0,Shopping
nan,5.0,Food & Dining
Data booster pack,181.0,Bills & Utilities
Ginger,10.0,Food & Dining
Tata salt 28+ 6 eggs 42,70.0,Food & Dining
nan,250000.0,Income
"ET Prime (1+1) till 24 Dec,2024",1749.0,Bills & Utilities
Permanent Residence - Tata Play recharge,156.0,Bills & Utilities
Data booster pack,181.0,Bills & Utilities
Place 2 station to Permanent Residence,80.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Birthday gift,1364.0,Shopping
Gupta bhel,25.0,Food & Dining
Toothbrush (buy 2 get 1),100.0,Shopping
Half lit  milk,35.0,Food & Dining
Birthday gift,798.0,Shopping
Home Food Delivery,380.0,Food & Dining
Vadapav,15.0,Food & Dining
Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,Shopping
Catering Service,65.0,Food & Dining
milk 1lit,70.0,Food & Dining
Catering Service,95.0,Food & Dining
Renewal,28400.0,Bills & Utilities
Chicken Frankie,45.0,Food & Dining
Place 0 to WS return,10.0,Transportation
milk 1lit,69.0,Food & Dining
undergarment single,312.0,Shopping
At restaurant,505.0,Food & Dining
within city,30.0,Transportation
Dmart,878.0,Shopping
2 cutting chai,20.0,Food & Dining
college to inorbit,25.0,Transportation
Place 0 to Place 4 return,20.0,Transportation
Current Residence to Place 0,15.0,Transportation
milk 1lit,69.0,Food & Dining
chocobar,15.0,Food & Dining
Paneer + 1 kg onion,145.0,Food & Dining
clothes ironing,98.0,Shopping
milk 1lit,69.0,Food & Dining
6 eggs,40.0,Food & Dining
Double chicken shwarma,100.0,Food & Dining
Catering Service,80.0,Food & Dining
nan,90.0,Food & Dining
nan,310.0,Food & Dining
Gupta bhel,25.0,Food & Dining
Catering Service,65.0,Food & Dining
Catering Service,85.0,Food & Dining
Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,408.0,Food & Dining
milk 1lit,69.0,Food & Dining
Catering Service,125.0,Food & Dining
Current Residence - Tata Play recharge,100.0,Bills & Utilities
nan,2700.0,Bills & Utilities
Smart point,937.0,Shopping
Supermart,990.0,Shopping
nan,120.0,Food & Dining
nan,35.0,Food & Dining
Amul butter,50.0,Food & Dining
milk 1lit,69.0,Food & Dining
nan,110.0,Bills & Utilities
Shev Puri,30.0,Food & Dining
Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,290.0,Food & Dining
hair cut+shaving,160.0,Shopping
chocobar,35.0,Food & Dining
milk 1lit,69.0,Food & Dining
Catering Service ( 5 methi paranthe),125.0,Food & Dining
1 lit,69.0,Food & Dining
nan,1000.0,Income
nan,1000.0,Income
5 Meftal spas,22.0,Healthcare
Glasses remaining,800.0,Healthcare
Family's Glasses,22700.0,Healthcare
nan,10000.0,Income
From workplace,64636.0,Income
Sweet bread cake pav kg,90.0,Food & Dining
6 eggs,42.0,Food & Dining
nan,18.0,Food & Dining
Toast+ biscuits,115.0,Shopping
nan,140.0,Food & Dining
1 lit,69.0,Food & Dining
Glasses advance,1000.0,Healthcare
2 Place 0 to Current Residence,30.0,Transportation
Place 6 station to  mall,30.0,Transportation
1 Place 0 to Place 6,5.0,Transportation
Sandals Hush puppies,2699.0,Shopping
eye institute to Place 6 station,40.0,Transportation
eye drop,159.0,Healthcare
Place 6 station to eye institute,40.0,Transportation
"Routine checkup - eye institute, Place 6",400.0,Healthcare
1 Place 0 to Place 6 return,10.0,Transportation
Permanent Residence - Tata Play recharge,156.0,Bills & Utilities
1 lit,69.0,Food & Dining
clothes ironing : Rs 6 per item,90.0,Shopping
Half kg tomato,10.0,Food & Dining
2 PVR Place 6,314.0,Entertainment
Flatbread 8 pcs,23.0,Food & Dining
Dahi + remaining balance,17.0,Food & Dining
3 kg Bajari,21.0,Food & Dining
1 lit,69.0,Food & Dining
nan,11043.0,Healthcare
milk 1lit,70.0,Food & Dining
1 Panipuri,20.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
2 Place 0 to Place 6 return,20.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
2 PVR Place 6,436.0,Entertainment
Khobra + shengdana+ vim bar,242.0,Shopping
6 eggs,39.0,Food & Dining
nan,147.0,Bills & Utilities
1.5 lit milk,104.0,Food & Dining
Vanila family pack,105.0,Food & Dining
Agarbatti 55 + dahi 25,80.0,Shopping
4 kg Gehu,28.0,Food & Dining
1 lit,70.0,Food & Dining
Home Food Delivery,524.0,Food & Dining
Toast 55 + Kisan Jam 85 + all out 75,209.0,Shopping
brown bread,25.0,Food & Dining
Amul butter 52 + Good Day biscuits 43,95.0,Shopping
nan,125.0,Food & Dining
vegetables,160.0,Food & Dining
Pani Puri packet + Bundi + chivda,180.0,Shopping
milk 1lit varna,70.0,Food & Dining
onion 1 kg + half kg potato,50.0,Food & Dining
Maggie + lizol,268.0,Shopping
Shev bhaji sev pav kg,60.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
At restaurant,1525.0,Food & Dining
nan,12.0,Food & Dining
USB cord,130.0,Shopping
Screwdriver 2,120.0,Shopping
Place P station to Alfa market,34.0,Transportation
Place 4 station to Place P return,30.0,Transportation
Place 0 to Place P return,40.0,Transportation
6 eggs,39.0,Food & Dining
Half lit  milk,26.0,Food & Dining
clothes ironing : Rs 6 per item,72.0,Shopping
Colgate max fresh small,20.0,Shopping
nan,67.0,Shopping
Acne Star cream,100.0,Healthcare
Bhendi bhaji,40.0,Food & Dining
1 lit,70.0,Food & Dining
nan,539.0,Shopping
1 kg apple,130.0,Food & Dining
1 lit,70.0,Food & Dining
6 eggs,39.0,Food & Dining
Place 0 to Current Residence,15.0,Transportation
Current Residence - Tata Play recharge,200.0,Bills & Utilities
nan,2700.0,Bills & Utilities
2 pavwada,20.0,Food & Dining
Mobile Service Provider freedom pack,296.0,Bills & Utilities
From workplace,78298.0,Income
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Mobile Service Provider freedom pack,296.0,Bills & Utilities
subscription 1yr,795.49,Bills & Utilities
Permanent Residence to bus stand,40.0,Transportation
within city,50.0,Transportation
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Dahi,10.0,Food & Dining
Shampoo sachets,9.0,Shopping
Slippers,220.0,Shopping
Dettol liquid handwash refill,99.0,Shopping
flour mill,27.0,Shopping
nan,50.0,Shopping
Permanent Residence - Tata Play recharge,191.0,Bills & Utilities
Current Residence to Place 1 bus stop highway,50.0,Transportation
Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Food & Dining
farewell contribution,200.0,Shopping
Gupta bhel,25.0,Food & Dining
2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Transportation
2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Transportation
Place 2 to Place 3 sevagram,658.6,Transportation
flour mill,14.0,Shopping
nan,230.0,Food & Dining
vegetables,280.0,Food & Dining
1 Year Plan (40mbps + UL+ 3 Months Free),5640.0,Bills & Utilities
For Friend,6500.0,Shopping
nan,468.0,Healthcare
